Symbol,Name,Sector,Market Cap
BHF,Brighthouse Financial Inc,Financials,7.066613254
BMY,Bristol-Myers Squibb,Health Care,102.50650196
AVGO,Broadcom,Information Technology,92.791974933
BF.B,Brown-Forman Corp.,Consumer Staples,5.498033502
CHRW,C. H. Robinson Worldwide,Industrials,12.932483889
CA,"CA, Inc.",Information Technology,14.175422936
COG,Cabot Oil & Gas,Energy,10.808821635
CDNS,Cadence Design Systems,Information Technology,10.8906252
CPB,Campbell Soup,Consumer Staples,13.467193376
COF,Capital One Financial,Financials,47.63726
CAH,Cardinal Health Inc.,Health Care,20.493281175
KMX,Carmax Inc,Consumer Discretionary,11.827453706
CCL,Carnival Corp.,Consumer Discretionary,49.18004405
CAT,Caterpillar Inc.,Industrials,91.822049046
CBOE,CBOE Holdings,Financials,12.998295607
CBG,CBRE Group,Real Estate,14.440591731
CBS,CBS Corp.,Consumer Discretionary,20.431395736
CELG,Celgene Corp.,Health Care,74.921079154
CNC,Centene Corporation,Health Care,18.012494506
CNP,CenterPoint Energy,Utilities,11.362043297
CTL,CenturyLink Inc,Telecommunication Services,18.237196861
CERN,Cerner,Health Care,21.101697598
CF,CF Industries Holdings Inc,Materials,9.209106695
SCHW,Charles Schwab Corporation,Financials,69.750188843
CHTR,Charter Communications,Consumer Discretionary,86.708878113
CHK,Chesapeake Energy,Energy,2.626102121
CVX,Chevron Corp.,Energy,218.978820159
CMG,Chipotle Mexican Grill,Consumer Discretionary,7.68528397
CB,Chubb Limited,Financials,68.424670566
CHD,Church & Dwight,Consumer Staples,11.838963451
CI,CIGNA Corp.,Health Care,47.68091048
XEC,Cimarex Energy,Energy,10.089082025
CINF,Cincinnati Financial,Financials,11.916533018
CTAS,Cintas Corporation,Industrials,16.676145923
CSCO,Cisco Systems,Information Technology,199.425716482
C,Citigroup Inc.,Financials,192.709302
CFG,Citizens Financial Group,Financials,22.008050974
CTXS,Citrix Systems,Information Technology,13.199167493
CME,CME Group Inc.,Financials,54.423298745
CMS,CMS Energy,Utilities,11.873960824
KO,Coca-Cola Company (The),Consumer Staples,189.855335601
CTSH,Cognizant Technology Solutions,Information Technology,45.119684067
CL,Colgate-Palmolive,Consumer Staples,61.616643498
CMCSA,Comcast Corp.,Consumer Discretionary,186.476996883
CMA,Comerica Inc.,Financials,16.274969256
CAG,Conagra Brands,Consumer Staples,14.379717835
CXO,Concho Resources,Energy,22.021882339
COP,ConocoPhillips,Energy,65.48246241
ED,Consolidated Edison,Utilities,23.335777662
STZ,Constellation Brands,Consumer Staples,41.697453163
GLW,Corning Inc.,Information Technology,25.759280346
COST,Costco Wholesale Corp.,Consumer Staples,80.439804508
COTY,"Coty, Inc",Consumer Staples,13.101112504
CCI,Crown Castle International Corp.,Real Estate,44.183023189
CSRA,CSRA Inc.,Information Technology,5.134501276
CSX,CSX Corp.,Industrials,47.340511707
CMI,Cummins Inc.,Industrials,28.669230787
CVS,CVS Health,Consumer Staples,75.323141722
DHI,D. R. Horton,Consumer Discretionary,17.390873686
DHR,Danaher Corp.,Health Care,66.35115
DRI,Darden Restaurants,Consumer Discretionary,11.74559532
DVA,DaVita Inc.,Health Care,13.685178
DE,Deere & Co.,Industrials,52.186628646
DAL,Delta Air Lines Inc.,Industrials,38.393603535
XRAY,Dentsply Sirona,Health Care,13.390513478
DVN,Devon Energy Corp.,Energy,19.31738
DLR,Digital Realty Trust Inc,Real Estate,21.400952517
DFS,Discover Financial Services,Financials,27.43354
DISCA,Discovery Communications-A,Consumer Discretionary,8.763756733
DISCK,Discovery Communications-C,Consumer Discretionary,8.320262123
DISH,Dish Network,Consumer Discretionary,21.032719056
DG,Dollar General,Consumer Discretionary,26.580644874
DLTR,Dollar Tree,Consumer Discretionary,25.151198417
D,Dominion Energy,Utilities,47.54357186
DOV,Dover Corp.,Industrials,15.566645713
DWDP,DowDuPont,Materials,165.203312427
DPS,Dr Pepper Snapple Group,Consumer Staples,21.209783858
DTE,DTE Energy Co.,Utilities,17.808073691
DUK,Duke Energy,Utilities,52.078185682
DRE,Duke Realty Corp,Real Estate,9.035293365
DXC,DXC Technology,Information Technology,27.40862102
ETFC,E*Trade,Financials,13.754977266
EMN,Eastman Chemical,Materials,14.226830813
ETN,Eaton Corporation,Industrials,35.961772
EBAY,eBay Inc.,Information Technology,44.216696399
ECL,Ecolab Inc.,Materials,38.460272282
EIX,Edison Int'l,Utilities,19.447670886
EW,Edwards Lifesciences,Health Care,27.447099863
EA,Electronic Arts,Information Technology,37.890226992
EMR,Emerson Electric Company,Industrials,44.040298425
ETR,Entergy Corp.,Utilities,13.116894887
EVHC,Envision Healthcare,Health Care,4.212729247
EOG,EOG Resources,Energy,61.164030149
EQT,EQT Corporation,Energy,12.63882895
EFX,Equifax Inc.,Industrials,14.121334618
EQIX,Equinix,Real Estate,33.333813618
EQR,Equity Residential,Real Estate,20.925508143
ESS,"Essex Property Trust, Inc.",Real Estate,14.383525286
EL,Estee Lauder Cos.,Consumer Staples,49.543264457
RE,Everest Re Group Ltd.,Financials,10.131892523
ES,Eversource Energy,Utilities,18.027633617
EXC,Exelon Corp.,Utilities,34.734816899
EXPE,Expedia Inc.,Consumer Discretionary,19.722178609
EXPD,Expeditors International,Industrials,11.040678071
ESRX,Express Scripts,Health Care,42.44965635
EXR,Extra Space Storage,Real Estate,10.133547517
XOM,Exxon Mobil Corp.,Energy,326.14866
FFIV,F5 Networks,Information Technology,8.744185796
FB,"Facebook, Inc.",Information Technology,523.423036576
FAST,Fastenal Co,Industrials,15.311373377
FRT,Federal Realty Investment Trust,Real Estate,8.077368506
FDX,FedEx Corporation,Industrials,67.280478816
FIS,Fidelity National Information Services,Information Technology,32.30845968
FITB,Fifth Third Bancorp,Financials,22.4376537
FE,FirstEnergy Corp,Utilities,13.706075072
FISV,Fiserv Inc,Information Technology,26.918949723
FLIR,FLIR Systems,Information Technology,6.706992926
FLS,Flowserve Corporation,Industrials,5.427884956
FLR,Fluor Corp.,Industrials,7.978485059
FMC,FMC Corporation,Materials,11.273961835
FL,Foot Locker Inc,Consumer Discretionary,5.819080328
F,Ford Motor,Consumer Discretionary,42.414328338
FTV,Fortive Corp,Industrials,24.916503061
FBHS,Fortune Brands Home & Security,Industrials,9.624169008
BEN,Franklin Resources,Financials,21.759187973
FCX,Freeport-McMoRan Inc.,Materials,25.85396933
GPS,Gap Inc.,Consumer Discretionary,12.684517721
GRMN,Garmin Ltd.,Consumer Discretionary,11.840331607
IT,Gartner Inc,Information Technology,10.828314389
GD,General Dynamics,Industrials,64.180390701
GE,General Electric,Industrials,132.24929625
GGP,General Growth Properties Inc.,Real Estate,21.018887283
GIS,General Mills,Consumer Staples,31.098243069
GM,General Motors,Consumer Discretionary,61.536606173
GPC,Genuine Parts,Consumer Discretionary,14.554321748
GILD,Gilead Sciences,Health Care,108.106822109
GPN,Global Payments Inc.,Information Technology,16.920023264
GS,Goldman Sachs Group,Financials,96.978500251
GT,Goodyear Tire & Rubber,Consumer Discretionary,8.244568238
GWW,Grainger (W.W.) Inc.,Industrials,14.639308205
HAL,Halliburton Co.,Energy,43.35655747
HBI,Hanesbrands Inc,Consumer Discretionary,8.006268615
HOG,Harley-Davidson,Consumer Discretionary,8.15894989
HRS,Harris Corporation,Information Technology,18.1407266
HIG,Hartford Financial Svc.Gp.,Financials,19.926305632
HAS,Hasbro Inc.,Consumer Discretionary,12.732072001
HCA,HCA Holdings,Health Care,34.4490528
HCP,HCP Inc.,Real Estate,10.967755538
HP,Helmerich & Payne,Energy,7.345243806
HSIC,Henry Schein,Health Care,11.452961984
HES,Hess Corporation,Energy,14.016129999
HPE,Hewlett Packard Enterprise,Information Technology,24.80085964
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,26.242415796
HOLX,Hologic,Health Care,11.18149375
HD,Home Depot,Consumer Discretionary,223.378633329
HON,Honeywell Int'l Inc.,Industrials,114.422168609
HRL,Hormel Foods Corp.,Consumer Staples,17.338613096
HST,Host Hotels & Resorts,Real Estate,14.394715334
HPQ,HP Inc.,Information Technology,34.895294088
HUM,Humana Inc.,Health Care,36.973617235
HBAN,Huntington Bancshares,Financials,16.766497291
HII,Huntington Ingalls Industries,Industrials,10.628247899
IDXX,IDEXX Laboratories,Health Care,15.42288502
INFO,IHS Markit Ltd.,Industrials,17.969275816
ITW,Illinois Tool Works,Industrials,55.994378108
ILMN,Illumina Inc,Health Care,32.2952
INCY,Incyte,Health Care,18.220961259
IR,Ingersoll-Rand PLC,Industrials,22.785450609
INTC,Intel Corp.,Information Technology,211.536
ICE,Intercontinental Exchange,Financials,41.373051167
IBM,International Business Machines,Information Technology,142.433003505
IP,International Paper,Materials,24.465996443
IPG,Interpublic Group,Consumer Discretionary,8.277363031
IFF,Intl Flavors & Fragrances,Materials,11.270040447
INTU,Intuit Inc.,Information Technology,41.233771565
ISRG,Intuitive Surgical Inc.,Health Care,44.866621303
IVZ,Invesco Ltd.,Financials,13.620847614
IQV,IQVIA Holdings Inc.,Health Care,20.426488713
IRM,Iron Mountain Incorporated,Real Estate,9.410249279
JBHT,J. B. Hunt Transport Services,Industrials,12.94536635
JEC,Jacobs Engineering Group,Industrials,9.326484316
SJM,JM Smucker,Consumer Staples,13.612394896
JNJ,Johnson & Johnson,Health Care,353.062464971
JCI,Johnson Controls International,Industrials,34.8222248
JPM,JPMorgan Chase & Co.,Financials,386.613611
JNPR,Juniper Networks,Information Technology,9.26735
KSU,Kansas City Southern,Industrials,11.037040988
K,Kellogg Co.,Consumer Staples,22.182794875
KEY,KeyCorp,Financials,22.58974492
KMB,Kimberly-Clark,Consumer Staples,39.449596
KIM,Kimco Realty,Real Estate,6.180487499
KMI,Kinder Morgan,Energy,38.612712234
KLAC,KLA-Tencor Corp.,Information Technology,16.078622033
KSS,Kohl's Corp.,Consumer Discretionary,10.570861198
KHC,Kraft Heinz Co,Consumer Staples,89.618309338
KR,Kroger Co.,Consumer Staples,25.471355847
LB,L Brands Inc.,Consumer Discretionary,13.862042842
LLL,L-3 Communications Holdings,Industrials,16.229343134
LH,Laboratory Corp. of America Holding,Health Care,17.271388
LRCX,Lam Research,Information Technology,27.967534829
LEG,Leggett & Platt,Consumer Discretionary,6.03460048
LEN,Lennar Corp.,Consumer Discretionary,14.615967194
LUK,Leucadia National Corp.,Financials,8.910389431
LLY,Lilly (Eli) & Co.,Health Care,84.475986228
LNC,Lincoln National,Financials,17.123031
LKQ,LKQ Corporation,Consumer Discretionary,12.469931896
LMT,Lockheed Martin Corp.,Industrials,98.10212
L,Loews Corp.,Financials,16.111166935
LOW,Lowe's Cos.,Consumer Discretionary,82.909678852
LYB,LyondellBasell,Materials,43.55665
MTB,M&T Bank Corp.,Financials,27.840827434
MAC,Macerich,Real Estate,8.473119166
M,Macy's Inc.,Consumer Discretionary,7.541063495
MRO,Marathon Oil Corp.,Energy,13.875005314
MPC,Marathon Petroleum,Energy,31.63374
MAR,Marriott Int'l.,Consumer Discretionary,50.910130358
MMC,Marsh & McLennan,Financials,41.81944
MLM,Martin Marietta Materials,Materials,13.756812736
MAS,Masco Corp.,Industrials,13.428792315
MA,Mastercard Inc.,Information Technology,187.102014193
MAT,Mattel Inc.,Consumer Discretionary,5.84340235
MKC,McCormick & Co.,Consumer Staples,13.459353253
MCD,McDonald's Corp.,Consumer Discretionary,132.101623787
MCK,McKesson Corp.,Health Care,31.534840262
MDT,Medtronic plc,Health Care,110.1070623
MRK,Merck & Co.,Health Care,152.24153034
MET,MetLife Inc.,Financials,48.679364276
MTD,Mettler Toledo,Health Care,16.420774443
MGM,MGM Resorts International,Consumer Discretionary,19.633674337
KORS,Michael Kors Holdings,Consumer Discretionary,10.053919023
MCHP,Microchip Technology,Information Technology,19.393095636
MU,Micron Technology,Information Technology,48.576791974
MSFT,Microsoft Corp.,Information Technology,689.978437468
MAA,Mid-America Apartments,Real Estate,9.99262899
MHK,Mohawk Industries,Consumer Discretionary,19.897356456
TAP,Molson Coors Brewing Company,Consumer Staples,12.396862128
MDLZ,Mondelez International,Consumer Staples,65.827817742
MON,Monsanto Co.,Materials,53.076824328
MNST,Monster Beverage,Consumer Staples,36.403831015
MCO,Moody's Corp,Financials,30.189978
MS,Morgan Stanley,Financials,97.5354
MSI,Motorola Solutions Inc.,Information Technology,16.626039679
MYL,Mylan N.V.,Health Care,21.698849265
NDAQ,"Nasdaq, Inc.",Financials,12.844304115
NOV,National Oilwell Varco Inc.,Energy,12.940096785
NAVI,Navient,Financials,3.69269133
NTAP,NetApp,Information Technology,15.375210915
NFLX,Netflix Inc.,Information Technology,114.805404842
NWL,Newell Brands,Consumer Discretionary,14.438346
NFX,Newfield Exploration Co,Energy,5.69512308
NEM,Newmont Mining Corporation,Materials,19.749449484
NWSA,News Corp. Class A,Consumer Discretionary,9.356906461
NWS,News Corp. Class B,Consumer Discretionary,9.496735699
NEE,NextEra Energy,Utilities,69.66117777
NLSN,Nielsen Holdings,Industrials,13.37767008
NKE,Nike,Consumer Discretionary,106.776113744
NI,NiSource Inc.,Utilities,7.776566371
NBL,Noble Energy Inc,Energy,13.177325251
JWN,Nordstrom,Consumer Discretionary,8.212509855
NSC,Norfolk Southern Corp.,Industrials,40.543547441
NTRS,Northern Trust Corp.,Financials,22.908130223
NOC,Northrop Grumman Corp.,Industrials,58.782413951
NCLH,Norwegian Cruise Line,Consumer Discretionary,13.191507318
NRG,NRG Energy,Utilities,8.030036023
NUE,Nucor Corp.,Materials,20.003317128
NVDA,Nvidia Corporation,Information Technology,138.6528
ORLY,O'Reilly Automotive,Consumer Discretionary,21.43378186
OXY,Occidental Petroleum,Energy,53.467692395
OMC,Omnicom Group,Consumer Discretionary,17.377551986
OKE,ONEOK,Energy,21.988472489
ORCL,Oracle Corp.,Information Technology,202.30234974
PCAR,PACCAR Inc.,Industrials,24.152102921
PKG,Packaging Corporation of America,Materials,11.051273948
PH,Parker-Hannifin,Industrials,24.421668509
PDCO,Patterson Companies,Health Care,3.2097924
PAYX,Paychex Inc.,Information Technology,23.25366681
PYPL,PayPal,Information Technology,90.708
PNR,Pentair Ltd.,Industrials,12.466660892
PBCT,People's United Financial,Financials,6.527616
PEP,PepsiCo Inc.,Consumer Staples,161.41327102
PKI,PerkinElmer,Health Care,8.351767268
PRGO,Perrigo,Health Care,12.326379902
PFE,Pfizer Inc.,Health Care,208.505541949
PCG,PG&E Corp.,Utilities,20.309412381
PM,Philip Morris International,Consumer Staples,153.580671803
PSX,Phillips 66,Energy,47.99622
PNW,Pinnacle West Capital,Utilities,8.397609889
PXD,Pioneer Natural Resources,Energy,29.983119693
PNC,PNC Financial Services,Financials,73.315
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,8.753430477
PPG,PPG Industries,Materials,29.043337549
PPL,PPL Corp.,Utilities,20.839814845
PX,Praxair Inc.,Materials,42.948664203
PCLN,Priceline.com Inc,Consumer Discretionary,91.817448863
PFG,Principal Financial Group,Financials,18.457199721
PG,Procter & Gamble,Consumer Staples,206.318943299
PGR,Progressive Corp.,Financials,31.06278
PLD,Prologis,Real Estate,31.953288
PRU,Prudential Financial,Financials,47.13608
PEG,Public Serv. Enterprise Inc.,Utilities,24.138050331
PSA,Public Storage,Real Estate,32.258539942
PHM,Pulte Homes Inc.,Consumer Discretionary,8.792572352
PVH,PVH Corp.,Consumer Discretionary,11.478625926
QRVO,Qorvo,Information Technology,9.877885146
QCOM,QUALCOMM Inc.,Information Technology,96.282828902
PWR,Quanta Services Inc.,Industrials,5.330131216
DGX,Quest Diagnostics,Health Care,13.5783
RRC,Range Resources Corp.,Energy,3.25558797
RJF,Raymond James Financial Inc.,Financials,13.2162717
RTN,Raytheon Co.,Industrials,59.06625584
O,Realty Income Corporation,Real Estate,13.784942453
RHT,Red Hat Inc.,Information Technology,22.799923883
REG,Regency Centers Corporation,Real Estate,9.858367494
REGN,Regeneron,Health Care,35.950369241
RF,Regions Financial Corp.,Financials,21.50064
RSG,Republic Services Inc,Industrials,21.590903863
RMD,ResMed,Health Care,13.233622689
RHI,Robert Half International,Industrials,7.047165475
ROK,Rockwell Automation Inc.,Industrials,24.123216432
COL,Rockwell Collins,Industrials,22.197870556
ROP,Roper Technologies,Industrials,27.247789759
ROST,Ross Stores,Consumer Discretionary,29.803566306
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,27.418147452
SPGI,"S&P Global, Inc.",Financials,46.58595
CRM,Salesforce.com,Information Technology,79.489115
SBAC,SBA Communications,Real Estate,19.572031314
SCG,SCANA Corp,Utilities,5.229448882
SLB,Schlumberger Ltd.,Energy,96.529311126
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,11.328642413
STX,Seagate Technology,Information Technology,14.11319772
SEE,Sealed Air,Materials,8.001938397
SRE,Sempra Energy,Utilities,26.163862235
SHW,Sherwin-Williams,Materials,37.730994828
SIG,Signet Jewelers,Consumer Discretionary,3.034275549
SPG,Simon Property Group Inc,Real Estate,48.139839531
SWKS,Skyworks Solutions,Information Technology,18.493080922
SLG,SL Green Realty,Real Estate,8.617714345
SNA,Snap-On Inc.,Consumer Discretionary,9.499107736
SO,Southern Co.,Utilities,43.497224128
LUV,Southwest Airlines,Industrials,34.351211637
SWK,Stanley Black & Decker,Consumer Discretionary,24.4963996
SBUX,Starbucks Corp.,Consumer Discretionary,76.548976
STT,State Street Corp.,Financials,38.0591133
SRCL,Stericycle Inc,Industrials,6.218560288
SYK,Stryker Corp.,Health Care,57.509096756
STI,SunTrust Banks,Financials,32.49894831
SYMC,Symantec Corp.,Information Technology,16.520497264
SYF,Synchrony Financial,Financials,28.89375
SNPS,Synopsys Inc.,Information Technology,12.767067883
SYY,Sysco Corp.,Consumer Staples,30.445320778
TROW,T. Rowe Price Group,Financials,25.810865035
TPR,"Tapestry, Inc.",Consumer Discretionary,14.247199374
TGT,Target Corp.,Consumer Discretionary,39.816696539
TEL,TE Connectivity Ltd.,Information Technology,34.983666316
FTI,TechnipFMC,Energy,14.163064455
TXN,Texas Instruments,Information Technology,100.26252647
TXT,Textron Inc.,Industrials,15.254672353
BK,The Bank of New York Mellon Corp.,Financials,56.083904906
CLX,The Clorox Company,Consumer Staples,16.540418002
COO,The Cooper Companies,Health Care,11.29795814
HSY,The Hershey Company,Consumer Staples,20.86727202
MOS,The Mosaic Company,Materials,9.726962131
TRV,The Travelers Companies Inc.,Financials,38.903131815
DIS,The Walt Disney Company,Consumer Discretionary,157.817273295
TMO,Thermo Fisher Scientific,Health Care,83.226586345
TIF,Tiffany & Co.,Consumer Discretionary,12.81051532
TWX,Time Warner Inc.,Consumer Discretionary,74.1858
TJX,TJX Companies Inc.,Consumer Discretionary,48.181450881
TMK,Torchmark Corp.,Financials,9.614412169
TSS,Total System Services,Information Technology,15.694951118
TSCO,Tractor Supply Company,Consumer Discretionary,8.459271203
TDG,TransDigm Group,Industrials,15.241203731
TRIP,TripAdvisor,Consumer Discretionary,5.700998508
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,44.027094922
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,66.135313503
TSN,Tyson Foods,Consumer Staples,26.9575268
USB,U.S. Bancorp,Financials,90.940115897
UDR,UDR Inc,Real Estate,9.050154422
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,13.300000127
UAA,Under Armour Class A,Consumer Discretionary,5.856913571
UA,Under Armour Class C,Consumer Discretionary,5.36662895
UNP,Union Pacific,Industrials,101.513290382
UAL,United Continental Holdings,Industrials,19.363059152
UNH,United Health Group Inc.,Health Care,218.834811333
UPS,United Parcel Service,Industrials,96.436356833
URI,"United Rentals, Inc.",Industrials,14.654954091
UTX,United Technologies,Industrials,105.387272474
UHS,"Universal Health Services, Inc.",Health Care,11.116075286
UNM,Unum Group,Financials,11.256432318
VFC,V.F. Corp.,Consumer Discretionary,31.797645904
VLO,Valero Energy,Energy,39.312309113
VAR,Varian Medical Systems,Health Care,10.69268172
VTR,Ventas Inc,Real Estate,18.865999082
VRSN,Verisign Inc.,Information Technology,10.754983829
VRSK,Verisk Analytics,Industrials,15.594677147
VZ,Verizon Communications,Telecommunication Services,208.092277044
VRTX,Vertex Pharmaceuticals Inc,Health Care,39.369386348
VIAB,Viacom Inc.,Consumer Discretionary,10.601008017
V,Visa Inc.,Information Technology,270.038723213
VNO,Vornado Realty Trust,Real Estate,12.778779911
VMC,Vulcan Materials,Materials,16.964162228
WMT,Wal-Mart Stores,Consumer Staples,304.680931618
WBA,Walgreens Boots Alliance,Consumer Staples,70.862541911
WM,Waste Management Inc.,Industrials,35.488486675
WAT,Waters Corporation,Health Care,16.064078572
WEC,Wec Energy Group Inc,Utilities,18.890296993
WFC,Wells Fargo,Financials,281.463620775
HCN,Welltower Inc.,Real Estate,20.943679019
WDC,Western Digital,Information Technology,24.760297793
WU,Western Union Co,Information Technology,8.951609207
WRK,WestRock Company,Materials,16.433340688
WY,Weyerhaeuser Corp.,Real Estate,26.07029796
WHR,Whirlpool Corp.,Consumer Discretionary,12.17792
WMB,Williams Cos.,Energy,24.80239647
WLTW,Willis Towers Watson,Financials,20.780269334
WYN,Wyndham Worldwide,Consumer Discretionary,11.993835688
WYNN,Wynn Resorts Ltd,Consumer Discretionary,18.225400525
XEL,Xcel Energy Inc,Utilities,21.559611927
XRX,Xerox Corp.,Information Technology,7.93883334
XLNX,Xilinx Inc,Information Technology,17.064975551
XL,XL Capital,Financials,10.75342359
XYL,Xylem Inc.,Industrials,12.915021
YUM,Yum! Brands Inc,Consumer Discretionary,27.003303098
ZBH,Zimmer Biomet Holdings,Health Care,24.454698119
ZION,Zions Bancorp,Financials,10.67067864
ZTS,Zoetis,Health Care,35.991109776
BABA,Alibaba,Consumer Discretionary,
JD,Jing Dong,Consumer Discretionary,
