t_stat,p_value,CI_1,CI_5,CI_10,i,j,i_sybl,j_sybl,i_sect,j_sect
-10.142066847515164,1.089542157329998e-16,-3.8986286550879896,-3.337350583721236,-3.0452971626202245,187,194,GLW,GRMN,Information Technology,Consumer Discretionary
-9.95244226077269,3.2712053586585164e-16,-3.899884056910095,-3.3380502775919707,-3.045782722129985,19,348,AIG,PM,Financials,Consumer Staples
-9.931859479987633,3.687144715974231e-16,-3.8998862243845864,-3.3380514853577425,-3.045783560225407,19,433,AIG,V,Financials,Information Technology
-9.29026474642785,1.5775595147053733e-14,-3.8985887203767784,-3.337328321145713,-3.0452817124183005,187,224,GLW,ILMN,Information Technology,Health Care
-8.627554991813982,7.775653537287685e-13,-3.899712211361105,-3.337954518422811,-3.0457162722209845,155,407,ETFC,TEL,Financials,Information Technology
-8.163477121926142,1.1711968683265428e-11,-3.8978497032705657,-3.336916281252574,-3.0449957475520155,286,447,MKC,WEC,Consumer Staples,Utilities
-8.040695411433376,2.387783843405346e-11,-3.899912448492969,-3.3380660979502736,-3.0457937002145856,19,51,AIG,AWK,Financials,Utilities
-7.607903670126148,2.8668107362319196e-10,-3.8986095778450816,-3.337339948687709,-3.045289781925802,241,412,JNPR,TPR,Information Technology,Consumer Discretionary
-7.554124581102009,3.8912553546861265e-10,-3.8998862243845864,-3.3380514853577425,-3.045783560225407,70,433,C,V,Financials,Information Technology
-7.204961180222174,2.7677333524034685e-09,-3.8978497032705657,-3.336916281252574,-3.0449957475520155,83,447,CHD,WEC,Consumer Staples,Utilities
-7.054177383672117,6.373367743457667e-09,-3.8994128758613473,-3.3377877028901564,-3.0456005119954295,159,406,EW,TDG,Health Care,Industrials
-7.001636314013095,8.505438589752953e-09,-3.8990012842350734,-3.3375582997269064,-3.0454413147143113,418,450,TWX,WLTW,Consumer Discretionary,Financials
-6.995982268852344,8.773134195173573e-09,-3.897954169895104,-3.3369745332952276,-3.0450361768792544,374,447,ROP,WEC,Industrials,Utilities
